238757904	4561395	138492711	20	199.64.0.252
238757904	4561395	138492711	20	199.64.0.252
238757904	4561395	138492711	25	199.64.0.253
238757904	4561395	138492711	50	199.64.0.254
240961884	14261166	138691129	60	174.254.83.235
240961884	14261166	138691129	65	174.254.83.235
208558293	2393003	139016938	40	67.86.246.201
208558293	2393003	139016938	45	67.86.246.201
132790091	10132487	139055889	50	66.222.97.147
132790091	10132487	139055889	55	66.222.97.147
217655897	10797257	139089725	30	155.91.45.231
217655897	10797257	139089725	35	155.91.45.232
